Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
3/16/2021,3,2021,703.349976,707.919983,671,676.880005,676.880005,32195700
3/17/2021,3,2021,656.869995,703.72998,651.01001,701.809998,701.809998,40372500
3/18/2021,3,2021,684.289978,689.22998,652,653.159973,653.159973,33224800
3/19/2021,3,2021,646.599976,657.22998,624.619995,654.869995,654.869995,42894000
3/22/2021,3,2021,684.590027,699.619995,668.75,670,670,39512200
3/23/2021,3,2021,675.77002,677.799988,657.51001,662.159973,662.159973,30491900
3/24/2021,3,2021,667.909973,668.02002,630.109985,630.27002,630.27002,33795200
3/25/2021,3,2021,613,645.5,609.5,640.390015,640.390015,39224900
3/26/2021,3,2021,641.869995,643.820007,599.890015,618.710022,618.710022,33852800
3/29/2021,3,2021,615.640015,616.47998,596.02002,611.289978,611.289978,28637000
3/30/2021,3,2021,601.75,637.659973,591.01001,635.619995,635.619995,39432400
3/31/2021,3,2021,646.619995,672,641.109985,667.929993,667.929993,33337300
4/1/2021,4,2021,688.369995,692.419983,659.419983,661.75,661.75,35298400
4/5/2021,4,2021,707.710022,708.159973,684.700012,691.049988,691.049988,41842800
4/6/2021,4,2021,690.299988,696.549988,681.369995,691.619995,691.619995,28271800
4/7/2021,4,2021,687,691.380005,667.840027,670.969971,670.969971,26309400
4/8/2021,4,2021,677.380005,689.549988,671.650024,683.799988,683.799988,23924300
4/9/2021,4,2021,677.77002,680.969971,669.429993,677.02002,677.02002,21437100
4/12/2021,4,2021,685.700012,704.799988,682.090027,701.97998,701.97998,29135700
4/13/2021,4,2021,712.700012,763,710.659973,762.320007,762.320007,44652800
4/14/2021,4,2021,770.700012,780.789978,728.030029,732.22998,732.22998,49017400
4/15/2021,4,2021,743.099976,743.690002,721.309998,738.849976,738.849976,27848900
4/16/2021,4,2021,728.650024,749.409973,724.599976,739.780029,739.780029,27979500
4/19/2021,4,2021,719.599976,725.400024,691.799988,714.630005,714.630005,39686200
